,lat,lon,type
2157,36.70622222,128.1621944,산림
2158,36.64266667,128.2314722,산림
2159,36.63802778,128.2284722,산림
2160,36.63972222,128.2130556,경작지
2161,36.66647222,128.1513611,산림
2162,36.66605556,128.1480556,산림
2163,36.53327778,127.4794722,산림
2164,36.59144444,127.4506111,산림
2165,36.56044444,127.4738333,경작지
2166,36.54852778,127.4444167,산림
2167,36.5765,127.4393889,산림
2168,36.57691667,127.4350278,산림
2169,36.54663889,127.3838056,산림
2170,36.54411111,127.38325,산림
2171,36.52686111,127.4776944,산림
2172,36.50161111,127.4838056,산림
2173,36.517,127.4433611,산림
2174,36.74488889,128.3955556,산림
2175,36.74397222,128.3845833,산림
2176,36.72177778,128.3855556,산림
2177,36.67241667,128.4290833,산림
2178,36.66080556,128.3906389,산림
2179,36.65638889,128.3929444,경작지
2180,35.56922222,127.4604722,산림
2181,35.58847222,127.4811389,산림
2182,35.59244444,127.4809167,산림
2183,35.59477778,127.4340278,산림
2184,35.60041667,127.3858056,산림
2185,35.60138889,127.3926667,산림
2186,35.60644444,127.3997222,산림
2187,35.60675,127.3823889,산림
2188,35.57102778,127.4628056,산림
2189,35.56916667,127.4859722,산림
2190,35.5655,127.4782778,산림
2191,35.55691667,127.4449444,산림
2192,35.54572222,127.4443056,산림
2193,35.55116667,127.3815,산림
2194,35.54733333,127.3840278,산림
2195,35.52077778,127.468,산림
2196,35.52147222,127.4384444,경작지
2197,35.51147222,127.4316944,산림
2198,35.52194444,127.3765833,산림
2199,36.68333333,128.3279722,산림
2200,36.72722222,128.33925,산림
2201,36.72563889,128.3673889,산림
2202,36.71794444,128.3265,경작지
2203,36.71075,128.3178056,경작지
2204,36.73855556,128.2990833,산림
2205,36.74327778,128.3038056,산림
2206,36.72180556,128.3243889,산림
2207,36.73725,128.264,산림
2208,36.72238889,128.2688333,산림
2209,36.71894444,128.2701944,산림
2210,36.72219444,128.2880556,경작지
2211,36.71813889,128.2850278,산림
2212,36.70930556,128.2907778,산림
2213,36.70869444,128.28925,산림
2214,36.69402778,128.3389444,산림
2215,36.68988889,128.3289167,산림
2216,36.6885,128.3307778,경작지
2217,36.67302778,128.3193056,산림
2218,36.67741667,128.31175,산림
2219,36.67647222,128.2816389,산림
2220,36.67619444,128.2806111,경작지
2221,36.65766667,128.3547778,산림
2222,36.65925,128.3149722,산림
2223,36.65469444,128.3168611,산림
2224,36.65766667,128.3190833,산림
2225,36.63005556,128.3303333,경작지
2226,35.58738889,127.5924167,산림
2227,35.58869444,127.5946111,산림
2228,35.60172222,127.5661111,산림
2229,35.60569444,127.5578333,산림
2230,35.59852778,127.5174722,산림
2231,35.59361111,127.5227778,산림
2232,35.54705556,127.5852222,산림
2233,35.57258333,127.6125556,산림
2234,35.57538889,127.6068333,산림
2235,35.57330556,127.6019167,산림
2236,35.56822222,127.5981944,산림
2237,35.55872222,127.5944167,경작지
2238,35.58308333,127.5974722,산림
2239,35.5565,127.5645833,산림
2240,35.55211111,127.5626944,산림
2241,35.54294444,127.5753611,산림
2242,35.54916667,127.5784444,산림
2243,35.54422222,127.5819722,산림
2244,35.55713889,127.5708889,산림
2245,35.58225,127.5266389,산림
2246,35.56627778,127.5094722,산림
2247,35.56138889,127.511,산림
2248,35.54802778,127.54025,산림
2249,35.50330556,127.5879167,산림
2250,35.52661111,127.5683611,경작지
2251,35.51613889,127.5553333,산림
2252,35.50811111,127.5777222,산림
