종명,접수일시,도로유형,도로명
오소리,2022-04-29,고속국도(재정),25
고라니,2022-04-29,고속국도(재정),16
고라니,2022-04-29,고속국도(재정),1
고라니,2022-04-29,고속국도(재정),35
고라니,2022-04-30,고속국도(재정),15
고라니,2022-04-30,고속국도(재정),30
고양이,2022-05-01,고속국도(재정),1
고라니,2022-05-01,고속국도(재정),1
노루,2022-05-01,고속국도(재정),55
개,2022-05-01,고속국도(재정),55
고라니,2022-05-01,고속국도(재정),12
고라니,2022-05-01,고속국도(재정),55
미동정(포유류),2022-05-01,고속국도(재정),151
멧돼지,2022-05-01,고속국도(재정),37
고라니,2022-05-01,고속국도(재정),65
고양이,2022-05-01,고속국도(재정),15
고라니,2022-05-01,고속국도(재정),15
고라니,2022-05-02,고속국도(재정),1
고라니,2022-05-02,고속국도(재정),15
고라니,2022-05-02,고속국도(재정),25
노루,2022-05-02,고속국도(재정),12
오소리,2022-05-02,고속국도(재정),10
오소리,2022-05-02,고속국도(재정),25
고라니,2022-05-02,고속국도(재정),30
미동정(포유류),2022-05-02,고속국도(재정),12
고라니,2022-05-03,고속국도(재정),65
고라니,2022-05-03,고속국도(재정),35
고라니,2022-05-03,고속국도(재정),15
오소리,2022-05-03,고속국도(재정),45
고라니,2022-05-04,고속국도(재정),15
고라니,2022-05-04,고속국도(재정),1
고라니,2022-05-04,고속국도(재정),45
고라니,2022-05-04,고속국도(재정),35
고라니,2022-05-04,고속국도(재정),55
고라니,2022-05-04,고속국도(재정),25
고라니,2022-05-05,고속국도(재정),300
고라니,2022-05-05,고속국도(재정),50
고라니,2022-05-05,고속국도(재정),15
고라니,2022-05-05,고속국도(재정),30
고양이,2022-05-05,고속국도(재정),15
고라니,2022-05-05,고속국도(재정),55
고라니,2022-05-06,고속국도(재정),15
고라니,2022-05-06,고속국도(재정),35
고라니,2022-05-06,고속국도(재정),12
고라니,2022-05-07,고속국도(재정),15
노루,2022-05-07,고속국도(재정),55
고라니,2022-05-07,고속국도(재정),30
고라니,2022-05-07,고속국도(재정),50
고라니,2022-05-07,고속국도(재정),35
고라니,2022-05-08,고속국도(재정),15
