이정,X좌표값,Y좌표값
39.1,35.09229314,128.1714835
39.2,35.0926552,128.170472
39.3,35.09302414,128.1694642
39.4,35.09339307,128.1684563
39.5,35.093762,128.1674484
39.6,35.09413091,128.1664406
39.7,35.09449982,128.1654327
39.8,35.09486872,128.1644248
39.9,35.09523762,128.1634168
40.0,35.09560658,128.162409
40.1,35.09597554,128.1614086
40.2,35.09637504,128.1604273
40.3,35.09678297,128.1594541
40.4,35.09720772,128.1584912
40.5,35.09764279,128.1575341
40.6,35.0980833,128.1565814
40.7,35.09853977,128.1556429
40.8,35.09902061,128.1547263
40.9,35.09952661,128.1538262
41.0,35.10005726,128.152947
41.1,35.10060897,128.1520936
41.2,35.10118404,128.1512598
41.3,35.10178382,128.1504468
41.4,35.1024015,128.1496634
41.5,35.1030423,128.1489009
41.6,35.10370199,128.1481673
41.7,35.10438246,128.1474576
41.8,35.10508114,128.1467767
41.9,35.1057986,128.1461242
42.0,35.10653202,128.1455002
42.1,35.10727789,128.1448878
42.2,35.10804595,128.1443437
42.3,35.10882729,128.1438094
42.4,35.10962255,128.1432997
42.5,35.11042104,128.142791
42.6,35.11121952,128.1422822
42.7,35.11201799,128.1417735
42.8,35.11281647,128.1412647
42.9,35.11361536,128.1407526
43.0,35.11440769,128.1402149
43.1,35.11518286,128.1396481
43.2,35.11595032,128.1390828
43.3,35.11672673,128.1385289
43.4,35.11744466,128.1380705
43.5,35.11824311,128.1375617
43.6,35.11904156,128.1370528
43.7,35.11984001,128.136544
43.8,35.12063845,128.1360351
43.9,35.12143609,128.1355244
44.0,35.12222916,128.1350033
44.1,35.12301332,128.1344626
44.2,35.12378359,128.1338931
44.3,35.12453427,128.1332862
44.4,35.12526002,128.1326359
44.5,35.12595779,128.1319417
44.6,35.1266262,128.131206
44.7,35.12726409,128.1304311
44.8,35.12786875,128.1296178
44.9,35.12843931,128.1287687
45.0,35.12897436,128.127886
45.1,35.12947258,128.126972
45.2,35.12993272,128.1260288
45.3,35.1303539,128.1250591
45.4,35.13073476,128.1240649
45.5,35.1310831,128.1230531
45.6,35.13140443,128.1220281
45.7,35.13170857,128.1209954
45.8,35.13200335,128.1199587
45.9,35.13229612,128.118921
46.0,35.13258884,128.1178834
46.1,35.13288155,128.1168458
46.2,35.13317425,128.1158081
46.3,35.13346694,128.1147705
46.4,35.13375962,128.1137328
46.5,35.1340523,128.1126951
46.6,35.13434823,128.1116459
46.7,35.13464415,128.1105966
46.8,35.13494006,128.1095474
46.9,35.13523597,128.1084981
47.0,35.1355315,128.1074486
47.1,35.13576867,128.1064012
47.2,35.13607219,128.105368
47.3,35.13637392,128.104334
47.4,35.13667378,128.1032992
47.5,35.1369766,128.1022656
47.6,35.13727342,128.1012295
47.7,35.13756852,128.1001926
47.8,35.1378602,128.0991543
47.9,35.13814894,128.0981148
48.0,35.13843821,128.0970755
48.1,35.13872852,128.0960366
48.2,35.13901549,128.0949964
48.3,35.13929666,128.0939538
48.4,35.13958012,128.0929121
48.5,35.13986814,128.0918723
48.6,35.14020186,128.0908514
48.7,35.1404924,128.0898125
48.8,35.14078399,128.0887742
48.9,35.1410721,128.0877338
49.0,35.1413533,128.0866926
49.1,35.14166863,128.0856645
49.2,35.14202097,128.0846556
49.3,35.14241629,128.0836706
49.4,35.14284633,128.0827069
49.5,35.14331836,128.0817729
49.6,35.14377001,128.0809562
49.7,35.14437222,128.0799937
49.8,35.14495187,128.0791534
49.9,35.14556767,128.0783526
50.0,35.14622244,128.0775984
50.1,35.14690218,128.0768779
50.2,35.14760998,128.0761986
50.3,35.14834171,128.0755578
50.4,35.14910037,128.0749655
50.5,35.14987682,128.0744081
50.6,35.15066377,128.0738729
50.7,35.15145114,128.0733385
50.8,35.15224221,128.0728124
50.9,35.15303009,128.0722791
51.0,35.15382007,128.0717505
51.1,35.15460987,128.0712215
51.2,35.1553988,128.0706907
51.3,35.15617411,128.070131
51.4,35.15693885,128.06955
51.5,35.15769405,128.0689507
51.6,35.15843802,128.068331
51.7,35.15916599,128.0676838
51.8,35.15987819,128.067011
51.9,35.16057608,128.0663164
52.0,35.16127203,128.0656188
52.1,35.16197379,128.0649299
52.2,35.16267513,128.0642403
52.3,35.16337518,128.0635488
52.4,35.16407678,128.0628596
52.5,35.1647764,128.0621674
52.6,35.16547533,128.0614742
52.7,35.16617412,128.0607808
52.8,35.16687701,128.0600935
52.9,35.16757994,128.0594063
53.0,35.16828162,128.0587172
53.1,35.16898343,128.0580283
53.2,35.16968482,128.0573387
53.3,35.17038458,128.0566467
53.4,35.17108667,128.0559582
53.5,35.17179022,128.055272
53.6,35.1724759,128.0545595
53.7,35.17312494,128.0537983
53.8,35.17371263,128.0529664
53.9,35.17423131,128.052069
54.0,35.17469608,128.0511286
54.1,35.17511694,128.0501578
54.2,35.17553985,128.0491883
54.3,35.1759618,128.0482182
54.4,35.17638661,128.0472498
54.5,35.17683326,128.0462965
54.6,35.17733933,128.0453884
54.7,35.17791246,128.0445415
54.8,35.17855498,128.0437722
54.9,35.17925777,128.0430856
55.0,35.18001499,128.0424909
55.1,35.18081305,128.0419813
55.2,35.18164262,128.0415522
55.3,35.18250228,128.0412239
55.4,35.18336755,128.0409162
55.5,35.18423183,128.0406044
55.6,35.18509694,128.0402959
55.7,35.18596075,128.0399821
55.8,35.18682561,128.0396726
55.9,35.18768773,128.0393523
56.0,35.18853261,128.0389709
56.1,35.18935652,128.0385258
56.2,35.19015508,128.0380167
56.3,35.19092677,128.0374495
56.4,35.19166738,128.0368241
56.5,35.19237399,128.0361426
56.6,35.19304783,128.0354135
56.7,35.19368329,128.0346349
56.8,35.19428104,128.0338131
56.9,35.19484287,128.0329546
57.0,35.19538899,128.032081
57.1,35.19593335,128.0312057
57.2,35.19647521,128.0303281
57.3,35.19701769,128.0294511
57.4,35.19755904,128.028573
57.5,35.19808832,128.0276841
57.6,35.19861011,128.0267887
57.7,35.19913035,128.0258918
57.8,35.19964364,128.0249891
57.9,35.20014709,128.0240782
58.0,35.20064107,128.0231596
58.1,35.20113308,128.0222394
58.2,35.20162226,128.021317
58.3,35.20211534,128.0203977
58.4,35.20260654,128.0194768
58.5,35.20309857,128.0185567
58.6,35.2035897,128.0176358
58.7,35.20408264,128.0167163
58.8,35.20457941,128.0157999
58.9,35.20508312,128.0148892
59.0,35.20559606,128.0139861
59.1,35.20611854,128.0130911
59.2,35.20664881,128.012203
59.3,35.20718061,128.0113162
59.4,35.20771315,128.0104301
59.5,35.20824242,128.0095411
59.6,35.20877367,128.0086539
59.7,35.20930634,128.0077678
59.8,35.20983932,128.0068821
59.9,35.21037354,128.0059975
60.0,35.21090373,128.0051093
60.1,35.21142809,128.0042159
60.2,35.21195959,128.0033289
60.3,35.21249147,128.0024421
60.4,35.21302432,128.0015562
60.5,35.21355657,128.0006698
60.6,35.21408927,127.9997837
60.7,35.21462381,127.9988993
60.8,35.21519256,127.9980474
60.9,35.21581707,127.9972555
61.0,35.21650278,127.9965439
61.1,35.21724587,127.9959229
61.2,35.21803504,127.9953931
61.3,35.21886378,127.9949621
61.4,35.21972324,127.9946326
61.5,35.22060545,127.9944091
61.6,35.22150122,127.9942901
61.7,35.22240235,127.9942834
61.8,35.2232995,127.9943874
61.9,35.22419151,127.9945452
62.0,35.22507995,127.9947309
62.1,35.22596884,127.9949133
62.2,35.2268575,127.9950975
62.3,35.22774625,127.9952811
62.4,35.22863589,127.9954581
62.5,35.22952566,127.9956341
62.6,35.23042106,127.9957586
62.7,35.23132126,127.9958108
62.8,35.23222238,127.9957944
62.9,35.23312085,127.9957083
63.0,35.2340127,127.99555
63.1,35.23489315,127.9953155
63.2,35.2357596,127.9950131
63.3,35.23660878,127.9946451
63.4,35.23743619,127.9942098
63.5,35.23823642,127.9937045
63.6,35.23900698,127.9931349
63.7,35.23974374,127.9925023
63.8,35.24044503,127.9918123
63.9,35.24110426,127.9910632
64.0,35.24172279,127.9902643
64.1,35.24229769,127.9894182
64.2,35.24282603,127.9885285
64.3,35.24331204,127.9876034
64.4,35.24375631,127.9866475
64.5,35.2441807,127.9856782
64.6,35.24459461,127.9847021
64.7,35.24500673,127.9837248
64.8,35.24541666,127.9827462
64.9,35.24583891,127.9817756
65.0,35.24630727,127.9808371
65.1,35.24683607,127.9799476
65.2,35.24743582,127.9791281
65.3,35.24810263,127.9783896
65.4,35.2488252,127.9777336
65.5,35.24959783,127.9771682
65.6,35.25041371,127.976702
65.7,35.25126275,127.9763338
65.8,35.25213928,127.9760784
65.9,35.25302974,127.9759108
66.0,35.25392917,127.9758445
66.1,35.25483052,127.9758481
66.2,35.25573191,127.9758568
66.3,35.25663328,127.9758681
66.4,35.25753458,127.9758856
66.5,35.2584359,127.9759012
66.6,35.25933723,127.9759156
66.7,35.26023862,127.9759245
66.8,35.26113999,127.9759349
66.9,35.26204095,127.975966
67.0,35.26294222,127.9759831
67.1,35.26384356,127.9759917
67.2,35.26474425,127.9759504
67.3,35.26564376,127.975882
67.4,35.26653937,127.9757584
67.5,35.26743006,127.9755899
67.6,35.2683144,127.9753775
67.7,35.26918932,127.9751134
67.8,35.2700545,127.9748051
67.9,35.27090683,127.9744475
68.0,35.2717462,127.9740475
68.1,35.272569,127.9735988
68.2,35.2733756,127.9731085
68.3,35.27416744,127.9725834
68.4,35.27494437,127.9720261
68.5,35.27571591,127.9714578
68.6,35.27648319,127.970881
68.7,35.27725876,127.9703208
68.8,35.27802708,127.9697461
68.9,35.27879895,127.9691783
69.0,35.27957157,127.968612
69.1,35.28034308,127.9680436
69.2,35.2811095,127.967465
69.3,35.28186484,127.9668653
69.4,35.2825855,127.9662054
69.5,35.28327212,127.9654934
69.6,35.28391709,127.9647257
69.7,35.28452168,127.9639106
69.8,35.28507946,127.9630472
69.9,35.28559308,127.9621441
70.0,35.2860582,127.9612027
70.1,35.28647024,127.9602252
70.2,35.28683137,127.9592181
70.3,35.28717029,127.9581994
70.4,35.28751813,127.9571852
70.5,35.28788699,127.9561822
70.6,35.28829243,127.9552005
70.7,35.28874617,127.9542507
70.8,35.28923633,127.9533282
70.9,35.28976135,127.9524347
71.0,35.29033081,127.9515828
71.1,35.29093726,127.9507695
71.2,35.29157688,127.949995
71.3,35.29224752,127.9492606
71.4,35.29294894,127.9485703
71.5,35.29368136,127.9479298
71.6,35.29443944,127.9473351
71.7,35.29522162,127.9467888
71.8,35.2960264,127.9462938
71.9,35.29684915,127.9458447
72.0,35.29767677,127.945409
72.1,35.29850462,127.944974
72.2,35.29933273,127.9445396
72.3,35.30016032,127.9441038
72.4,35.3009883,127.9436692
72.5,35.30181557,127.9432325
72.6,35.30263941,127.9427999
72.7,35.30346442,127.9423847
72.8,35.30430893,127.9420003
72.9,35.3051611,127.9416419
73.0,35.30602326,127.9413213
73.1,35.30689373,127.9410357
73.2,35.30777151,127.9407859
73.3,35.30865611,127.9405747
73.4,35.30954533,127.9403947
73.5,35.31043919,127.940253
73.6,35.31133658,127.9401505
73.7,35.31223574,127.9400733
73.8,35.31313661,127.9400364
73.9,35.31403761,127.9400031
74.0,35.31493869,127.9399732
74.1,35.31583961,127.9399378
74.2,35.31674058,127.9399036
74.3,35.31764153,127.9398679
74.4,35.31854242,127.9398306
74.5,35.31944321,127.9397895
74.6,35.32034339,127.9397322
74.7,35.32124317,127.939666
74.8,35.32214296,127.9395999
74.9,35.32304248,127.9395295
75.0,35.32394229,127.939464
75.1,35.32484215,127.9393994
75.2,35.32574197,127.939334
75.3,35.3266404,127.9392462
75.4,35.3275387,127.9391555
75.5,35.32843552,127.9390447
75.6,35.32933059,127.9389148
75.7,35.33022225,127.9387537
75.8,35.33111359,127.9385898
75.9,35.33200539,127.9384296
76.0,35.33289711,127.9382688
76.1,35.33378914,127.9381106
76.2,35.33468101,127.937951
76.3,35.33557272,127.9377901
76.4,35.3364643,127.9376281
76.5,35.33735621,127.9374688
76.6,35.33824729,127.9373028
76.7,35.33913865,127.9371389
76.8,35.34002695,127.9369524
76.9,35.34090513,127.9367047
77.0,35.34176812,127.936388
77.1,35.34260779,127.9359886
77.2,35.34342333,127.9355201
77.3,35.34420778,127.9349789
77.4,35.34495968,127.9343726
77.5,35.3456763,127.9337056
77.6,35.34635302,127.9329793
77.7,35.34698279,127.9321927
77.8,35.34756518,127.9313534
77.9,35.3481036,127.9304711
78.0,35.34861984,127.9295692
78.1,35.34912163,127.9286552
78.2,35.34962936,127.9277461
78.3,35.3501407,127.9268401
78.4,35.35065887,127.9259399
78.5,35.35119178,127.9250527
78.6,35.3517762,127.9242154
78.7,35.35240595,127.9234284
78.8,35.35308198,127.922701
78.9,35.35380111,127.9220386
79.0,35.35456409,127.9214532
79.1,35.35535916,127.9209353
79.2,35.35618197,127.9204867
79.3,35.3570273,127.9201051
79.4,35.357886,127.9197704
79.5,35.35874506,127.9194371
79.6,35.35960425,127.9191042
79.7,35.36046438,127.9187751
79.8,35.36132501,127.9184478
79.9,35.36218511,127.9181185
80.0,35.36303588,127.917755
80.1,35.36387713,127.9173603
80.2,35.36471592,127.9169576
80.3,35.36556521,127.916589
80.4,35.36642288,127.9162505
80.5,35.36728706,127.9159376
80.6,35.36816222,127.9156744
80.7,35.36904458,127.9154497
80.8,35.36993262,127.9152612
80.9,35.37082296,127.9150893
81.0,35.3717134,127.9149181
